QUE_BUTTON_RESP	QUE_BUTTON_RT	BLOCK_INDEX	TRIAL_INDEX	SENT_BUTTON_RESP	SENT_BUTTON_RT	exp	item	verbtype	nountype	pptype	determiner	subjnumber	quant	entailment	sent	compq	correctans	incorrectans	leftans	rightans	c_bal
Left	4022872.51	7	215	-1	 2139.92	Enrich	38	neutral	entity	NA	NA	NA	NA	NA	"The celebrated writer^ recalled^ a novel^ because she had nothing else to do."	"Was the writer unknown?"	No	Yes	Yes	No	1
Right	4029286.78	7	216	-1	 2101.03	Hartshorne_filler-UE-all	54	NA	NA	NA	NA	NA	NA	NA	"Gabriella pulled all of the pranks that so maddened the headmaster, and she got into trouble."	"Who did Gabriella make angry?"	"The headmaster"	"The students"	"The students"	"The headmaster"	1
Left	4037552.65	7	217	-1	 3246.17	Hartshorne_filler-UE-onlysome	36	NA	NA	NA	NA	NA	NA	NA	"Faith scored only some of the goals in yesterday's playoff game, and the fans still loved her."	"Did the fans hate Faith?"	No	Yes	Yes	No	1
Right	4047296.32	7	218	-1	 3932.39	Sturt	4	NA	NA	reciprocal	the	pl	NA	NA	"It was to^ each other^ that^ the^ experienced military^ drivers^ wanted^ the soldiers^ to reveal^ the classified documents."	"What did the drivers want shown?"	Documents	Pictures	Pictures	Documents	1
Right	4057384.26	7	219	-1	 5266.00	Hartshorne_filler-DE-some	22	NA	NA	NA	NA	NA	NA	NA	"If Dorothy wrote some of the letters last night before going to bed, then she must have slept well."	"What did Dorothy have to write yesterday?"	Letters	Tweets	Tweets	Letters	1
Right	4144598.89	8	220	-1	 8006.82	Sturt	63	NA	NA	conjunct	demonstrative	sg	NA	NA	"It was to^ Jim and Greg^ that^ this^ polite young^ woman^ asked^ the grandmothers^ to give^ their vacation photos."	"Were any grandmothers mentioned in this sentence?"	Yes	No	No	Yes	1
Left	4154096.31	8	221	-1	 3173.43	Hartshorne_filler-UE-none	66	NA	NA	NA	NA	NA	NA	NA	"Justin understood none of the movies by the famous French director, and said they were a waste of time."	"What was the director's nationality?"	French	German	French	German	1
Right	4163567.16	8	222	-1	 3467.28	Sturt	58	NA	NA	reciprocal	demonstrative	pl	NA	NA	"It was to^ each other^ that^ these^ somewhat skeptical^ fellows^ wanted^ the mathematicians^ to show^ all of their work."	"Were any physicists mentioned in this sentence?"	No	Yes	No	Yes	1
Left	4172359.11	8	223	-1	 3883.17	Hartshorne_filler-DE-all	75	NA	NA	NA	NA	NA	NA	NA	"If Tim existed all of the time in two dimensions, then life would be rather difficult."	"Would two-dimensional life be easy?"	No	Yes	No	Yes	1
Left	4179951.17	8	224	-1	 1962.76	Enrich	7	event	event	NA	NA	NA	NA	NA	"The debate team^ started^ an argument^ about health care spending."	"What kind of spending was this about?"	"Health care spending"	"Defense spending"	"Health care spending"	"Defense spending"	1
Left	4187919.54	8	225	-1	 2993.21	Hartshorne_filler-DE-none	79	NA	NA	NA	NA	NA	NA	NA	"If Paul reached none of the shelves in the cabinet, then I don't know how he got the cookies."	"Where did the cookies come from?"	"The cabinet"	"The table"	"The cabinet"	"The table"	1
Right	4199072.57	8	226	-1	 4398.18	Enrich	42	event	entity	NA	NA	NA	NA	NA	"The crown prince^ finished^ the manuscript^ that his noble family had demanded."	"Who made demands of the prince?"	"His family"	"His constituents"	"His constituents"	"His family"	1
Right	4211176.56	8	227	-1	 7234.57	Sturt	15	NA	NA	conjunct	demonstrative	sg	NA	NA	"It was to^ Matt and Kim^ that^ this^ pretty discerning^ writer^ wanted^ the cooks^ to suggest^ the best dishes."	"Who was supposed to suggest dishes?"	Cooks	"The writer"	Cooks	"The writer"	1
Left	4219015.24	8	228	-1	 2493.34	Hartshorne_filler-UE-onlysome	27	NA	NA	NA	NA	NA	NA	NA	"Carol produced only some of the movies that were based on books, and she directed them too."	"What industry is Carol in?"	Film	Oil	Film	Oil	1
Left	4227552.57	8	229	-1	 3265.21	Hartshorne_filler-DE-some	13	NA	NA	NA	NA	NA	NA	NA	"If Victoria stole some of the candy that was meant for the kids, then her mother will be mad."	"Who might have stolen the candy?"	Victoria	David	Victoria	David	1
Left	4235824.57	8	230	-1	 3827.07	Sturt	8	NA	NA	reciprocal	the	sg	NA	NA	"It was to^ each other^ that^ the^ recently tenured^ professor^ wanted^ the apprentices^ to give^ advice and assistance."	"Did the professor have tenure?"	Yes	No	Yes	No	1
Left	4246232.18	8	231	-1	 5114.98	Hartshorne_filler-UE-onlysome	25	NA	NA	NA	NA	NA	NA	NA	"Betty learned only some of the techniques for painting from her teacher, and she wasn't even very good at them."	"What was Beth studying?"	Painting	Photography	Painting	Photography	1
Left	4259472.73	8	232	-1	 7721.95	Sturt	42	NA	NA	reciprocal	demonstrative	pl	NA	NA	"It was to^ each other^ that^ these^ helpful local^ policemen^ advised^ the citizens^ to communicate^ the new curfew information."	"Who had to spread the information?"	"The community leaders"	"Darren and Allie"	"The community leaders"	"Darren and Allie"	1
Right	4267887.73	8	233	-1	 2909.80	Enrich	3	neutral	event	NA	NA	NA	NA	NA	"The new catcher^ cursed^ his game^ according to the reporter."	"Had the catcher been with the team a long time?"	No	Yes	Yes	No	1
Right	4278583.80	8	234	-1	 4786.43	Enrich	33	neutral	event	NA	NA	NA	NA	NA	"The lead soprano^ praised^ the concert^ that her competitor had worked on."	"Was this sentence about somebody composing a song?"	No	Yes	Yes	No	1
Right	4290231.12	8	235	-1	 6862.43	Hartshorne	4	NA	NA	NA	NA	NA	onlysome	UE	"Isabella recommended^ only some of^ the applicants^ to the hiring director,^ and^ the rest^ didn't meet her criteria."	"Who was evaluating the applicants?"	Isabella	Caleb	Caleb	Isabella	1
Right	4297318.91	8	236	-1	 2674.82	Enrich	48	event	entity	NA	NA	NA	NA	NA	"The registered nurse^ began^ the chart^ and the doctor gave little input."	"Who began the chart?"	"The registered nurse"	"The medical doctor"	"The medical doctor"	"The registered nurse"	1
Left	4306648.62	8	237	-1	 2800.61	Hartshorne_filler-UE-all	56	NA	NA	NA	NA	NA	NA	NA	"Connor handled all of the situations with his usual grace, and he was rewarded."	"Is Connor normally very clumsy?"	No	Yes	No	Yes	1
Left	4316646.95	8	238	-1	 4127.25	Hartshorne	5	NA	NA	NA	NA	NA	some	UE	"Caleb sold^ some of^ the inventory^ before the new season began,^ and^ the rest^ will be put on clearance."	"When was Caleb wanting to cell the inventory?"	"Before the new season"	"During the new season"	"Before the new season"	"During the new season"	1
Right	4325718.82	8	239	-1	 2972.24	Hartshorne	44	NA	NA	NA	NA	NA	onlysome	UE	"Zachary picked^ only some of^ the flowers^ to give to his wife,^ and^ the rest^ are still in the garden."	"Did Zachary buy flowers from a flower shop?"	No	Yes	Yes	No	1
Right	4334975.61	8	240	-1	 3204.47	Sturt	49	NA	NA	conjunct	the	sg	NA	NA	"It was to^ Ilana and Alexa^ that^ the^ wealthy old^ patron^ wanted^ the painters^ to teach^ the popular new style."	"What were the painters supposed to teach?"	"A new painting style"	"An ancient painting stye"	"An ancient painting stye"	"A new painting style"	1
Right	4342902.87	8	241	-1	 3150.39	Hartshorne_filler-UE-some	1	NA	NA	NA	NA	NA	NA	NA	"Addison ate some of the cookies before breakfast this morning, and then she ate some cake."	"Who ate cookies?"	Addison	Nathan	Nathan	Addison	1
Right	4351424.10	8	242	-1	 3449.64	Enrich	8	neutral	entity	NA	NA	NA	NA	NA	"The lead banker^ remembered^ a check^ but did nothing about it."	"Did the banker take any action?"	No	Yes	Yes	No	1
Left	4369678.88	8	243	-1	12734.52	Sturt	5	NA	NA	conjunct	the	pl	NA	NA	"It was to^ Tom and James^ that^ the^ very prying^ neighbours^ expected^ the sisters^ to give^ the wedding pictures."	"What was supposed to be given?"	Pictures	Invitations	Pictures	Invitations	1
Left	4377575.98	8	244	-1	 2221.72	Hartshorne_filler-DE-all	72	NA	NA	NA	NA	NA	NA	NA	"If Henry let all of the puppies go out for a walk, then they would have fun together."	"Would the puppies have fun?"	Yes	No	Yes	No	1
Left	4386792.15	8	245	-1	 3959.87	Hartshorne_filler-UE-some	11	NA	NA	NA	NA	NA	NA	NA	"Maya removed some of the judges due to the corruption scandal, and the press called it a military coup."	"Why were the judges removed?"	Corruption	Incompetence	Corruption	Incompetence	1
Right	4396256.18	8	246	-1	 4134.13	Enrich	5	intension	event	NA	NA	NA	NA	NA	"The track star^ needed^ a marathon^ in spite of the intense pain."	"How good was the track runner?"	"Very good"	"Not very good"	"Not very good"	"Very good"	1
Left	4404927.29	8	247	-1	 3797.41	Hartshorne_filler-DE-onlysome	42	NA	NA	NA	NA	NA	NA	NA	"If Juan worked only some of the cases that are now being appealed, then that's still enough."	"What might Juan's profession be?"	Lawyer	Cashier	Lawyer	Cashier	1
Left	4416247.62	8	248	-1	 2890.29	Hartshorne	23	NA	NA	NA	NA	NA	some	DE	"If^ Daniel knows^ some of^ the supermodels^ at the party already,^ then^ the rest^ will quickly learn to avoid him."	"Does Daniel sound like a scumbag?"	Yes	No	Yes	No	1
Left	4425872.51	8	249	-1	 4771.40	Sturt	53	NA	NA	conjunct	the	pl	NA	NA	"It was to^ Daniel and Gabriel^ that^ the^ cruel feudal^ landlords^ ordered^ the serfs^ to give^ the season's harvest."	"Was this sentence about serfs?"	Yes	No	Yes	No	1
Left	4434832.64	8	250	-1	 3550.36	Hartshorne_filler-UE-some	9	NA	NA	NA	NA	NA	NA	NA	"Gabriel forgot some of the faces that he saw that day, and he was glad of it."	"Who was this sentence about?"	Gabriel	Gabriella	Gabriel	Gabriella	1
Left	4443823.19	8	251	-1	 3066.92	Hartshorne	31	NA	NA	NA	NA	NA	some	DE	"If^ Aiden fed^ some of^ the animals^ their usual afternoon meal,^ then^ the rest^ are still hungry."	"Did the animals usually eat in the afternoon?"	Yes	No	No	Yes	1
Right	4452560.52	8	252	-1	 3589.86	Hartshorne	38	NA	NA	NA	NA	NA	onlysome	DE	"If^ Makayla joined^ only some of^ the clubs^ that she had heard about,^ then^ the rest^ will be offended."	"Was this sentence about banking?"	No	Yes	Yes	No	1
Left	4463719.41	8	253	-1	 3575.22	Sturt	22	NA	NA	reciprocal	demonstrative	sg	NA	NA	"It was to^ each other^ that^ this^ very experienced^ editor^ wanted^ the biologists^ to report^ the conflicting results."	"What branch of science was this about?"	Biology	Chemistry	Biology	Chemistry	1
Right	4471960.50	8	254	-1	 3506.11	Enrich	46	intension	entity	NA	NA	NA	NA	NA	"The movie producer^ required^ the actor^ that would ultimately be cut from the film."	"What kind of producer was this?"	"Movie producer"	"TV producer"	"TV producer"	"Movie producer"	1
Right	4547231.12	9	255	-1	 2533.44	Enrich	16	intension	entity	NA	NA	NA	NA	NA	"The chemistry student^ demanded^ the paper^ and returned to her dorm room."	"Did somebody demand a paper?"	Yes	No	No	Yes	1
Left	4556591.71	9	256	-1	 3889.29	Sturt_filler	40	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the spelunkers shouted the commands to navigate the dangerous cavern."	"Was the cavern very safe?"	No	Yes	No	Yes	1
Left	4565607.81	9	257	-1	 2754.91	Enrich	34	intension	entity	NA	NA	NA	NA	NA	"The lazy director^ imagined^ a letter^ and left the building."	"What did the lazy director do?"	"Imagined a letter"	"Reshot the scene"	"Imagined a letter"	"Reshot the scene"	1
Right	4574414.83	9	258	-1	 3392.84	Sturt_filler	9	NA	NA	NA	NA	NA	NA	NA	"It was to April and Henry that the tech whizzes showed the latest computer."	"Who did the tech whizzes show the latest computer to?"	"April and Henry"	"Each other"	"Each other"	"April and Henry"	1
Right	4581328.34	9	259	-1	 1953.76	Hartshorne	45	NA	NA	NA	NA	NA	some	UE	"Jacob got^ some of^ the groceries^ yesterday after work,^ and^ the rest^ he'll pick up today."	"Does Jacob have a job?"	Yes	No	No	Yes	1
Left	4591895.05	9	260	-1	 3840.27	Sturt	38	NA	NA	reciprocal	demonstrative	sg	NA	NA	"It was to^ each other^ that^ this^ very meticulous^ scientist^ asked^ the students^ to demonstrate^ their analysis protocol."	"Who did the analysis?"	Students	Consultants	Students	Consultants	1
Right	4602207.96	9	261	-1	 4045.58	Sturt	2	NA	NA	reciprocal	demonstrative	pl	NA	NA	"It was to^ each other^ that^ these^ rather duplicitous^ detectives^ expected^ the spies^ to recommend^ some poison recipes."	"Were the detectives honest?"	No	Yes	Yes	No	1
Left	4609256.32	9	262	-1	 2415.50	Enrich	43	event	event	NA	NA	NA	NA	NA	"The competitive athlete^ enjoyed^ the marathon^ and thought it would be a good workout."	"Who enjoyed the marathon?"	"The competitive athlete"	"The careless teen"	"The competitive athlete"	"The careless teen"	1
Right	4620208.53	9	263	-1	 4516.65	Sturt	30	NA	NA	reciprocal	demonstrative	sg	NA	NA	"It was to^ each other^ that^ this^ rather intimidating^ commissioner^ told^ the constables^ to give^ their full support."	"Were the constables told to help?"	Yes	No	No	Yes	1
Left	4631568.72	9	264	-1	 5428.37	Enrich	10	intension	entity	NA	NA	NA	NA	NA	"The concert pianist^ imagined^ a letter^ and then became very reclusive."	"Was a pianist mentioned in this sentence?"	Yes	No	No	Yes	1
Left	4643976.27	9	265	-1	 5411.78	Sturt	31	NA	NA	conjunct	demonstrative	sg	NA	NA	"It was to^ Nancy and Mike^ that^ this^ very conscientious^ babysitter^ asked^ the fathers^ to give^ their contact information."	"Were the fathers told to stay hidden?"	No	Yes	No	Yes	1
Left	4652254.90	9	266	-1	 3183.26	Hartshorne_filler-UE-onlysome	33	NA	NA	NA	NA	NA	NA	NA	"Adrian proved only some of the theorems that were assigned by the mathematician, and he wasn't acknowledged for it."	"Who assigned theorems?"	"The mathematician"	Adrian	Adrian	"The mathematician"	1
Left	4660040.25	9	267	-1	 2016.48	Enrich	19	event	event	NA	NA	NA	NA	NA	"The careless teen^ enjoyed^ the marathon^ but didn't wear good shoes."	"What did the careless teen enjoy?"	"The marathon"	"The bike"	"The marathon"	"The bike"	1
Right	4670767.16	9	268	-1	 3991.07	Hartshorne_filler-DE-onlysome	37	NA	NA	NA	NA	NA	NA	NA	"If Haley observed only some of the teams prior to the start of the tournament, then her opinion doesn't mean much."	"Whose opinion about the tournament is being discussed?"	Haley's	Brian's	Brian's	Haley's	1
Left	4678511.44	9	269	-1	 2577.63	Hartshorne_filler-DE-some	18	NA	NA	NA	NA	NA	NA	NA	"If Elizabeth thought some of the shows on television were boring, then her friends would be annoyed."	"What kind of shows was the sentence about?"	"Television shows"	"Theatre shows"	"Television shows"	"Theatre shows"	1
Left	4685936.24	9	270	-1	 2188.14	Sturt_filler	5	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the criminals expressed their regret about the past."	"Who did the criminals express regret to?"	"Each other"	"The judges"	"Each other"	"The judges"	1
Left	4693287.06	9	271	-1	 3099.29	Hartshorne_filler-UE-all	50	NA	NA	NA	NA	NA	NA	NA	"Alexis drank all of the water because she was so very thirsty, and she is still thirsty."	"What did Alexis drink?"	Water	Coffee	Water	Coffee	1
Right	4702296.59	9	272	-1	 3528.80	Sturt_filler	8	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the pedagogues wanted to provide their teaching tips."	"Was it the school superintendents who provided teaching tips?"	No	Yes	Yes	No	1
Right	4714479.40	9	273	-1	 7082.69	Sturt	35	NA	NA	conjunct	demonstrative	pl	NA	NA	"It was to^ John and Sally^ that^ these^ demanding new^ clients^ wanted^ the experts^ to demonstrate^ the proper techniques."	"Who had to demonstrate the techniques?"	Experts	Everyone	Everyone	Experts	1
Right	4729030.80	9	274	-1	 9256.03	Hartshorne	35	NA	NA	NA	NA	NA	some	DE	"If^ Diego answered^ some of^ the questions^ correctly and without hesitation,^ then^ the rest^ were answered by Sally."	"Was this sentence about dinosaur hunting?"	No	Yes	Yes	No	1
Left	4740696.43	9	275	-1	 5350.96	Sturt	19	NA	NA	conjunct	demonstrative	pl	NA	NA	"It was to^ Nicole and Kim^ that^ these^ intelligent organic^ chemists^ wanted^ the assistants^ to verify^ the new data."	"Were the chemists dumb?"	No	Yes	No	Yes	1
Left	4751830.83	9	276	-1	 6274.22	Hartshorne	33	NA	NA	NA	NA	NA	some	UE	"Evelyn read^ some of^ the books^ that were assigned for the class,^ and^ the rest^ she'll read later."	"Is Evelyn illiterate?"	No	Yes	Yes	No	1
Right	4765944.65	9	277	-1	 8754.21	Hartshorne_filler-DE-none	81	NA	NA	NA	NA	NA	NA	NA	"If Kevin walked none of the dogs, then they will be begging to go out later."	"Who was supposed to walk the dogs?"	Kevin	Anthony	Anthony	Kevin	1
Left	4788624.11	9	278	-1	15457.07	Sturt	6	NA	NA	reciprocal	demonstrative	sg	NA	NA	"It was to^ each other^ that^ this^ very supportive^ worker^ wanted^ the clerks^ to reveal^ the company reports."	"What was supposed to be revealed?"	Reports	Records	Records	Reports	1
Right	4827264.22	9	279	-1	 3669.28	Sturt	59	NA	NA	conjunct	demonstrative	pl	NA	NA	"It was to^ Mark and Samantha^ that^ these^ completely starstruck^ concertgoers^ begged^ the crooners^ to sing^ a song or two."	"Were any yodelers mentioned in this sentence?"	No	Yes	Yes	No	1
Left	4835064.03	9	280	-1	 3148.50	Sturt_filler	4	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the relatives wanted to reveal the contents of their wills."	"Who wanted to reveal the wills?"	"The relatives"	"The lawyers"	"The relatives"	"The lawyers"	1
Right	4846871.44	9	281	-1	 6565.64	Sturt	43	NA	NA	conjunct	demonstrative	pl	NA	NA	"It was to^ Molly and Kim^ that^ these^ astute political^ lobbyists^ wanted^ the precincts^ to report^ the latest crime statistics."	"What kind of statistics was this about?"	"Crime statistics"	"Sports statistics"	"Sports statistics"	"Crime statistics"	1
Left	4854472.06	9	282	-1	 2946.06	Hartshorne_filler-UE-some	5	NA	NA	NA	NA	NA	NA	NA	"Brayden rested some of his dogs by keeping them in their kennels, and he rested himself as well."	"Whose dogs were these?"	Brayden's	Joshua's	Brayden's	Joshua's	1
Right	4865776.58	9	283	-1	 6236.23	Sturt	64	NA	NA	reciprocal	the	sg	NA	NA	"It was to^ each other^ that^ the^ extremely meticulous^ organizer^ told^ the bridesmaids^ to give^ the flowers."	"Was anyone meticulous mentioned in this sentence?"	Yes	No	No	Yes	1
Left	4872591.94	9	284	-1	 2326.71	Hartshorne_filler-UE-all	49	NA	NA	NA	NA	NA	NA	NA	"Alexa did all of the chores very early in the morning, and then she napped."	"Who did the chores?"	Alexa	Connor	Alexa	Connor	1
Right	4881519.13	9	285	-1	 2941.21	Hartshorne_filler-UE-none	59	NA	NA	NA	NA	NA	NA	NA	"Mackenzie closed none of the windows, and she saved money on air conditioning."	"Did Mackenzie leave the windows open?"	Yes	No	Yes	No	1
Right	4889608.06	9	286	-1	 3369.39	Hartshorne	9	NA	NA	NA	NA	NA	some	UE	"Mia supported^ some of^ the students^ during their difficult first year,^ and^ the rest^ had to fend for themselves."	"Was first year difficult?"	Yes	No	No	Yes	1
Left	4899903.84	9	287	-1	 5228.25	Sturt	17	NA	NA	conjunct	the	sg	NA	NA	"It was to^ Jane and Tom^ that^ the^ very clever^ instructor^ requested^ the students^ to summarize^ the book they read."	"Was the instructor clever?"	Yes	No	Yes	No	1
Left	4911582.96	9	288	-1	 5386.63	Sturt	12	NA	NA	reciprocal	the	pl	NA	NA	"It was to^ each other^ that^ the^ rather unorthodox^ priests^ advised^ the parishioners^ to confess^ their many sins."	"Were administrators mentioned in this sentence?"	No	Yes	No	Yes	1
Right	4922288.32	9	289	-1	 4948.02	Sturt	51	NA	NA	conjunct	demonstrative	pl	NA	NA	"It was to^ Len and Sue^ that^ these^ somewhat clueless^ investors^ wanted^ the entrepreneurs^ to explain^ their business models."	"What were the entrepreneurs supposed to explain?"	"Their business models"	"Their product lines"	"Their product lines"	"Their business models"	1
